ID,course1,course2
ea682b140a15d40156a00aaf0234a91e,Анализ неструктурированных данных,-
e6f751a81ab2d5197e8237a96656144d,Высокопроизводительные вычисления,-
594c54bb30547b44c9cc617aa2754f10,Безопасность компьютерных систем,-
492c677be00bb8223ebbaffa3aff2549,Анализ неструктурированных данных,Глубинное обучение в обработке звука
180cf0e0dc7a6f88e76e3076cb761d26,???,-
e86ac9984ebea336a2a71b6bd9929702,Statistical Learning Theory,Байесовские методы машинного обучения
93c0280966ae263fe26c5d78f719f2ae,Анализ неструктурированных данных,Байесовские методы машинного обучения
fc833a2815fa010d53b0047244438d9d,Statistical Learning Theory,Байесовские методы машинного обучения
1a45910254951a8a55dd65cf4dc24b6d,Анализ неструктурированных данных,Байесовские методы машинного обучения
b3cbd3541c0cf66ff4eb2bc1596bb149,Statistical Learning Theory,Байесовские методы машинного обучения
82bc94a50a6c08a67ad9bf3d9791c459,Моделирование временных рядов,-
e11399490117e1913ae79d09a5a2b981,Анализ неструктурированных данных,Глубинное обучение в обработке звука
a31027b4218c8cca257f9b9cd07791d2,Анализ неструктурированных данных,???
fc8b84c5df1ea8bf6e5da51945124d57,Байесовские методы машинного обучения,Высокопроизводительные вычисления
674d6e333a907d65780e9618436f1952,Анализ неструктурированных данных,Байесовские методы машинного обучения
71c8f779c794a59d749092a11a350557,Глубинное обучение в обработке звука,???
7134f24c241836458335aa3abb8d8727,Анализ неструктурированных данных,Глубинное обучение в обработке звука
906692ccd33f59058380aac1598c5480,Анализ неструктурированных данных,Байесовские методы машинного обучения
757ce29d3647ee4aff21bc1a62849805,Анализ неструктурированных данных,Глубинное обучение в обработке звука
2e04f9bc8796f095ed7b9c7941df91a6,Анализ неструктурированных данных,Глубинное обучение в обработке звука
976376a468b8f4d1e3c48f7acb29c2e4,Анализ неструктурированных данных,Байесовские методы машинного обучения
c39a1776d2509b6383ab9a7af9cba0ca,Анализ неструктурированных данных,Сбор и обработка данных с помощью краудсорсинга
c1e88502b6673d22c38ee1352e3a1dd9,Анализ неструктурированных данных,Моделирование временных рядов
bba51e2f648cb3323b96858a404dacea,Моделирование временных рядов,Анализ неструктурированных данных
d028e00edda581b07bcbe6b841e6dc39,Анализ неструктурированных данных,Байесовские методы машинного обучения
840716fde17a536f5e067546ab49a8a7,Байесовские методы машинного обучения,Глубинное обучение в обработке звука
c93289511bf5625a199d4ae9b889a06a,Statistical Learning Theory,Байесовские методы машинного обучения
2d23e58ee8e952b48da12adcb71f2db0,Анализ неструктурированных данных,Глубинное обучение в обработке звука
db450211a009799155ed6494957be8c7,Анализ неструктурированных данных,Глубинное обучение в обработке звука
d81070e804b5757d118efba759e707e8,Анализ неструктурированных данных,Байесовские методы машинного обучения
ce2a9120d5581dcd8bd0d6252918c9ec,Statistical Learning Theory,Моделирование временных рядов
7fe7df0d207babbf30249b3063ac1f26,Высокопроизводительные вычисления,-
5d76b97bcf684f8a1ec03057dd94d416,Высокопроизводительные вычисления,-
df4d59dca630b474f77b0103cac53b52,Высокопроизводительные вычисления,-
29d0fcf21c4db938fae688bb09078f8d,Анализ неструктурированных данных,Сбор и обработка данных с помощью краудсорсинга
4df9699d2022802f80b3e6426d6976d7,Statistical Learning Theory,Безопасность компьютерных систем
9775834d44b69d181c5fb0c0af57c783,Анализ неструктурированных данных,Байесовские методы машинного обучения
6ef08b5cfd42ecdd713466cb4b7b41b7,Высокопроизводительные вычисления,-
c749f69f66d40cdfb3821745951be896,Анализ неструктурированных данных,???
fecff7bd30995d16b59fb392d47b3760,Анализ неструктурированных данных,Безопасность компьютерных систем
15163c0c088c0ba42e1c77c9f3eabc81,Глубинное обучение в обработке звука,-
0d85933f07516e8871e9415c1d95ddbe,Высокопроизводительные вычисления,-
f36d508e6129c7b248cc707b71c2a551,Statistical Learning Theory,Сбор и обработка данных с помощью краудсорсинга
a207faa550aba9ebf30537be445012cc,Глубинное обучение в обработке звука,-
5bb63d6635c5f4c530b727fe1d6d84bf,Глубинное обучение в обработке звука,-
8cc921fb155319d983cf72e9a6e8caa8,Statistical Learning Theory,Высокопроизводительные вычисления
